CustomerID,Recency,Frequency,Monetary,R_quintile,F_quintile,M_quintile,Segment
12346,325,12,77556.46,2,5,5,沈睡 VIP
12347,1,8,5633.32,5,4,5,活躍 VIP
12348,74,5,2019.4,3,4,4,活躍 VIP
12349,18,4,4428.69,5,3,5,一般活躍
12350,309,1,334.4,2,1,2,一般流失
12351,374,1,300.93,2,1,2,一般流失
12352,35,10,2849.84,4,5,4,活躍 VIP
12353,203,2,406.76,2,2,2,一般流失
12354,231,1,1079.4,2,1,3,一般流失
12355,213,2,947.61,2,2,3,一般流失
12356,22,6,6373.68,4,4,5,活躍 VIP
12357,32,3,18287.66,4,3,5,一般活躍
12358,1,5,3887.07,5,4,5,活躍 VIP
12359,57,10,8935.94,4,5,5,活躍 VIP
12360,51,8,4252.89,4,4,5,活躍 VIP
12361,286,4,511.25,2,3,2,一般流失
12362,2,11,5356.23,5,5,5,活躍 VIP
12363,109,2,552.0,3,2,2,一般流失
12364,7,4,1313.1,5,3,4,一般活躍
12365,290,2,641.38,2,2,3,一般流失
12366,633,1,500.24,1,1,2,一般流失
12367,3,1,168.9,5,1,1,潛力新客
12368,627,1,917.6999999999999,1,1,3,一般流失
12369,412,3,1791.15,1,3,4,一般流失
12370,50,7,4320.31,4,4,5,活躍 VIP
12371,44,5,4067.38,4,4,5,活躍 VIP
12372,71,3,1298.04,3,3,4,一般活躍
12373,310,3,1127.65,2,3,3,一般流失
12374,24,4,2989.2200000000003,4,3,5,一般活躍
12375,10,2,457.5,5,2,2,潛力新客
12376,389,2,503.15,2,2,2,一般流失
12377,314,4,3426.32,2,3,5,一般流失
12378,129,2,5416.32,3,2,5,一般流失
12379,81,4,1620.22,3,3,4,一般活躍
12380,21,11,9676.300000000001,4,5,5,活躍 VIP
12381,4,5,1845.31,5,4,4,活躍 VIP
12383,184,5,1850.56,3,4,4,沈睡 VIP
12384,28,2,585.27,4,2,2,潛力新客
12385,378,1,1938.4,2,1,4,一般流失
12386,337,2,660.8,2,2,3,一般流失
12387,414,1,143.94,1,1,1,一般流失
12388,15,8,3901.11,5,4,5,活躍 VIP
12389,402,3,1433.33,2,3,4,一般流失
12390,79,1,549.84,3,1,2,潛力新客
12391,21,6,2773.42,4,4,4,活躍 VIP
12392,590,1,234.75000000000003,1,1,1,一般流失
12393,71,6,2399.4500000000003,3,4,4,活躍 VIP
12394,63,2,1272.48,3,2,4,一般活躍
12395,18,15,5067.27,5,5,5,活躍 VIP
12396,673,1,931.43,1,1,3,一般流失
12397,35,2,2409.9,4,2,4,一般活躍
12398,45,1,1635.6599999999999,4,1,4,一般活躍
12399,118,7,1962.3,3,4,4,沈睡 VIP
12400,413,1,205.25,1,1,1,一般流失
12401,302,1,84.3,2,1,1,一般流失
12402,322,6,1256.9,2,4,4,沈睡 VIP
12403,49,2,1019.36,4,2,3,潛力新客
12404,681,1,63.24,1,1,1,一般流失
12405,148,1,1710.39,3,1,4,一般流失
12406,21,5,6390.36,4,4,5,活躍 VIP
12407,49,5,1708.1200000000001,4,4,4,活躍 VIP
12408,32,8,4340.7699999999995,4,4,5,活躍 VIP
12409,78,7,23419.29,3,4,5,活躍 VIP
12410,308,3,1013.71,2,3,3,一般流失
12411,409,1,346.9,2,1,2,一般流失
12412,74,6,2596.93,3,4,4,活躍 VIP
12413,66,4,999.45,3,3,3,一般活躍
12414,216,6,952.41,2,4,3,一般流失
12415,23,28,144458.37,4,5,5,活躍 VIP
12416,656,1,202.56,1,1,1,一般流失
12417,2,20,6816.91,5,5,5,活躍 VIP
12418,112,4,2021.2,3,3,4,一般流失
12419,385,2,503.01,2,2,2,一般流失
12420,63,1,600.39,3,1,2,潛力新客
12421,15,6,1098.6,5,4,3,一般活躍
12422,95,17,5231.8,3,5,5,沈睡 VIP
12423,0,10,2622.39,5,5,4,活躍 VIP
12424,162,4,3340.03,3,3,5,一般流失
12425,77,2,1741.41,3,2,4,一般活躍
12426,194,2,1345.21,2,2,4,一般流失
12427,21,3,1129.3,4,3,3,一般活躍
12428,25,9,7956.46,4,5,5,活躍 VIP
12429,8,8,7485.91,5,4,5,活躍 VIP
12430,42,1,256.4,4,1,1,潛力新客
12431,35,27,10857.97,4,5,5,活躍 VIP
12432,42,5,5059.32,4,4,5,活躍 VIP
12433,0,10,20581.26,5,5,5,活躍 VIP
12434,84,3,1103.43,3,3,3,一般活躍
12435,79,6,13925.93,3,4,5,活躍 VIP
12436,99,1,509.01,3,1,2,一般流失
12437,1,39,12683.4,5,5,5,活躍 VIP
12438,13,2,2906.85,5,2,4,一般活躍
12439,682,2,1158.18,1,2,3,一般流失
12440,461,2,859.2,1,2,3,一般流失
12441,366,1,347.1,2,1,2,一般流失
12442,2,1,172.06,5,1,1,潛力新客
12443,731,1,485.31,1,1,2,一般流失
12444,20,5,5005.46,4,4,5,活躍 VIP
12445,21,2,434.98,4,2,2,潛力新客
12446,57,1,1002.3100000000001,4,1,3,潛力新客
12447,242,1,476.49,2,1,2,一般流失
12448,43,1,449.45,4,1,2,潛力新客
12449,21,6,4835.89,4,4,5,活躍 VIP
12450,155,5,688.2,3,4,3,一般流失
12451,10,8,12669.88,5,4,5,活躍 VIP
12452,16,2,430.57,5,2,2,潛力新客
12453,133,1,707.09,3,1,3,一般流失
12454,55,5,16679.78,4,4,5,活躍 VIP
12455,72,10,5879.95,3,5,5,活躍 VIP
12456,43,3,3181.04,4,3,5,一般活躍
12457,65,8,2995.91,3,4,5,活躍 VIP
12458,70,4,1777.49,3,3,4,一般活躍
12459,604,1,454.36,1,1,2,一般流失
12460,455,1,326.65,1,1,2,一般流失
12461,93,2,826.88,3,2,3,一般流失
12462,18,2,1189.59,5,2,3,潛力新客
12463,52,4,1344.78,4,3,4,一般活躍
12464,9,8,1212.05,5,4,3,一般活躍
12465,16,2,742.1899999999999,5,2,3,潛力新客
12466,681,1,56.73,1,1,1,一般流失
12467,422,1,132.8,1,1,1,一般流失
12468,187,5,3670.74,3,4,5,沈睡 VIP
12469,522,2,3070.54,1,2,5,一般流失
12470,689,1,211.95,1,1,1,一般流失
12471,1,79,39963.79,5,5,5,活躍 VIP
12472,31,19,17880.59,4,5,5,活躍 VIP
12473,28,5,3938.5499999999997,4,4,5,活躍 VIP
12474,16,31,12424.45,5,5,5,活躍 VIP
12475,53,2,1149.64,4,2,3,潛力新客
12476,15,23,14115.41,5,5,5,活躍 VIP
12477,22,9,20276.37,4,5,5,活躍 VIP
12478,3,1,680.99,5,1,3,潛力新客
12479,10,1,527.2,5,1,2,潛力新客
12480,27,7,5464.85,4,4,5,活躍 VIP
12481,22,15,12361.39,4,5,5,活躍 VIP
12482,575,29,23691.4,1,5,5,沈睡 VIP
12483,16,19,5120.58,5,5,5,活躍 VIP
12484,32,12,6370.15,4,5,5,活躍 VIP
12485,528,1,708.1,1,1,3,一般流失
12486,431,1,1037.28,1,1,3,一般流失
12487,730,1,285.29999999999995,1,1,1,一般流失
12488,9,3,1298.66,5,3,4,一般活躍
12489,335,1,334.93,2,1,2,一般流失
12490,4,21,9823.64,5,5,5,活躍 VIP
12491,38,1,460.40000000000003,4,1,2,潛力新客
12492,62,3,715.21,3,3,3,一般活躍
12493,165,2,433.74,3,2,2,一般流失
12494,15,9,1872.8700000000001,5,5,4,活躍 VIP
12495,640,1,357.4,1,1,2,一般流失
12496,619,2,54.09,1,2,1,一般流失
